name;role;age;season;nation;from;from_l;to;to_l;value
"Jorginho";"Mediano";"26";18/19";"Italia";"Napoli";"Serie A";"Chelsea";"Premier League";"57,00 mln "
"Gianluigi Buffon";"Portiere";"23";01/02";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"52,88 mln "
"Christian Vieri";"Punta centrale";"25";99/00";"Italia";"Lazio";"Serie A";"Inter";"Serie A";"46,48 mln "
"Leonardo Bonucci";"Difensore centrale";"30";17/18";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"42,00 mln "
"Federico Bernardeschi";"Ala destra";"23";17/18";"Italia";"Fiorentina";"Serie A";"Juventus";"Serie A";"40,00 mln "
"Filippo Inzaghi";"Punta centrale";"27";01/02";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"36,15 mln "
"Leonardo Bonucci";"Difensore centrale";"31";18/19";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"35,00 mln "
"Mattia Caldara";"Difensore centrale";"24";18/19";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"35,00 mln "
"Alessandro Nesta";"Difensore centrale";"26";02/03";"Italia";"Lazio";"Serie A";"Milan";"Serie A";"30,99 mln "
"Mario Balotelli";"Punta centrale";"20";10/11";"Italia";"Inter";"Serie A";"Manchester City";"Premier League";"29,50 mln "
"Antonio Cassano";"Seconda punta";"18";01/02";"Italia";"Bari";"Serie B";"Roma";"Serie A";"28,50 mln "
"Christian Vieri";"Punta centrale";"25";98/99";"Italia";"Atlético Madrid";"LaLiga";"Lazio";"Serie A";"28,41 mln "
"Francesco Toldo";"Portiere";"29";01/02";"Italia";"Fiorentina";"Serie A";"Inter";"Serie A";"26,50 mln "
"Vincenzo Montella";"Punta centrale";"25";99/00";"Italia";"Sampdoria";"Serie B";"Roma";"Serie A";"25,00 mln "
"Simone Verdi";"Ala destra";"25";18/19";"Italia";"Bologna";"Serie A";"Napoli";"Serie A";"25,00 mln "
"Davide Zappacosta";"Terzino destro";"25";17/18";"Italia";"Torino";"Serie A";"Chelsea";"Premier League";"25,00 mln "
"Alessio Romagnoli";"Difensore centrale";"20";15/16";"Italia";"Roma";"Serie A";"Milan";"Serie A";"25,00 mln "
"Alberto Gilardino";"Punta centrale";"23";05/06";"Italia";"Parma";"Serie A";"Milan";"Serie A";"25,00 mln "
"Stefano Fiore";"Trequartista";"26";01/02";"Italia";"Udinese";"Serie A";"Lazio";"Serie A";"25,00 mln "
"Andrea Conti";"Terzino destro";"23";17/18";"Italia";"Atalanta";"Serie A";"Milan";"Serie A";"24,00 mln "
"Fabio Cannavaro";"Difensore centrale";"28";02/03";"Italia";"Parma";"Serie A";"Inter";"Serie A";"23,00 mln "
"Amauri";"Punta centrale";"28";08/09";"Italia";"Palermo";"Serie A";"Juventus";"Serie A";"22,80 mln "
"Francesco Coco";"Terzino sinistro";"25";02/03";"Italia";"Milan";"Serie A";"Inter";"Serie A";"22,50 mln "
"Alex Meret";"Portiere";"22";19/20";"Italia";"Udinese";"";"Napoli";"";"22,00 mln "
"Antonio Candreva";"Ala destra";"29";16/17";"Italia";"Lazio";"Serie A";"Inter";"Serie A";"22,00 mln "
"Jorginho";"Mediano";"26";18/19";"Italia";"Napoli";"Serie A";"Chelsea";"Premier League";"57,00 mln "
"Gianluigi Buffon";"Portiere";"23";01/02";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"52,88 mln "
"Christian Vieri";"Punta centrale";"25";99/00";"Italia";"Lazio";"Serie A";"Inter";"Serie A";"46,48 mln "
"Leonardo Bonucci";"Difensore centrale";"30";17/18";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"42,00 mln "
"Federico Bernardeschi";"Ala destra";"23";17/18";"Italia";"Fiorentina";"Serie A";"Juventus";"Serie A";"40,00 mln "
"Filippo Inzaghi";"Punta centrale";"27";01/02";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"36,15 mln "
"Leonardo Bonucci";"Difensore centrale";"31";18/19";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"35,00 mln "
"Mattia Caldara";"Difensore centrale";"24";18/19";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"35,00 mln "
"Alessandro Nesta";"Difensore centrale";"26";02/03";"Italia";"Lazio";"Serie A";"Milan";"Serie A";"30,99 mln "
"Mario Balotelli";"Punta centrale";"20";10/11";"Italia";"Inter";"Serie A";"Manchester City";"Premier League";"29,50 mln "
"Antonio Cassano";"Seconda punta";"18";01/02";"Italia";"Bari";"Serie B";"Roma";"Serie A";"28,50 mln "
"Christian Vieri";"Punta centrale";"25";98/99";"Italia";"Atlético Madrid";"LaLiga";"Lazio";"Serie A";"28,41 mln "
"Francesco Toldo";"Portiere";"29";01/02";"Italia";"Fiorentina";"Serie A";"Inter";"Serie A";"26,50 mln "
"Vincenzo Montella";"Punta centrale";"25";99/00";"Italia";"Sampdoria";"Serie B";"Roma";"Serie A";"25,00 mln "
"Simone Verdi";"Ala destra";"25";18/19";"Italia";"Bologna";"Serie A";"Napoli";"Serie A";"25,00 mln "
"Davide Zappacosta";"Terzino destro";"25";17/18";"Italia";"Torino";"Serie A";"Chelsea";"Premier League";"25,00 mln "
"Alessio Romagnoli";"Difensore centrale";"20";15/16";"Italia";"Roma";"Serie A";"Milan";"Serie A";"25,00 mln "
"Alberto Gilardino";"Punta centrale";"23";05/06";"Italia";"Parma";"Serie A";"Milan";"Serie A";"25,00 mln "
"Stefano Fiore";"Trequartista";"26";01/02";"Italia";"Udinese";"Serie A";"Lazio";"Serie A";"25,00 mln "
"Andrea Conti";"Terzino destro";"23";17/18";"Italia";"Atalanta";"Serie A";"Milan";"Serie A";"24,00 mln "
"Fabio Cannavaro";"Difensore centrale";"28";02/03";"Italia";"Parma";"Serie A";"Inter";"Serie A";"23,00 mln "
"Amauri";"Punta centrale";"28";08/09";"Italia";"Palermo";"Serie A";"Juventus";"Serie A";"22,80 mln "
"Francesco Coco";"Terzino sinistro";"25";02/03";"Italia";"Milan";"Serie A";"Inter";"Serie A";"22,50 mln "
"Alex Meret";"Portiere";"22";19/20";"Italia";"Udinese";"";"Napoli";"";"22,00 mln "
"Antonio Candreva";"Ala destra";"29";16/17";"Italia";"Lazio";"Serie A";"Inter";"Serie A";"22,00 mln "
"Nicola Ventola";"Punta centrale";"20";98/99";"Italia";"Bari";"Serie A";"Inter";"Serie A";"21,00 mln "
"Pietro Pellegri";"Punta centrale";"16";17/18";"Italia";"Genoa";"Serie A";"Monaco";"Ligue 1";"21,00 mln "
"Marco Di Vaio";"Punta centrale";"26";02/03";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"21,00 mln "
"Domenico Morfeo";"Trequartista";"22";98/99";"Italia";"Fiorentina";"Serie A";"Milan";"Serie A";"20,00 mln "
"Rolando Mandragora";"Centrale";"21";18/19";"Italia";"Juventus";"Serie A";"Udinese";"Serie A";"20,00 mln "
