type;name;role;age;season;nation;from;to;market_value;value
"Acquisto";"Duván Zapata";"Punta centrale";"27";18/19";"Colombia";"Atalanta BC";"Sampdoria";"20,00 mln ";"20,00 mln  Spesa prestito: 14,00 mln "
"Acquisto";"Davide Bettella";"Difensore centrale";"18";18/19";"Italia";"Atalanta BC";"Inter";"-";"- 7,00 mln "
"Acquisto";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Benfica";"25,00 mln ";"25,00 mln  5,00 mln "
"Acquisto";"Marco Tumminello";"Punta centrale";"19";18/19";"Italia";"Atalanta BC";"Roma";"1,00 mln ";"1,00 mln  5,00 mln "
"Acquisto";"Marco Carraro";"Mediano";"20";18/19";"Italia";"Atalanta BC";"Inter";"800 mila ";"800 mila  5,00 mln "
"Acquisto";"Pierluigi Gollini";"Portiere";"23";18/19";"Italia";"Atalanta BC";"Aston Villa";"3,50 mln ";"3,50 mln  4,30 mln "
"Acquisto";"Arkadiusz Reca";"Terzino sinistro";"23";18/19";"Polonia";"Atalanta BC";"Wisla Plock";"250 mila ";"250 mila  4,00 mln "
"Acquisto";"Mario Pasalic";"Centrale";"23";18/19";"Croazia";"Atalanta BC";"Chelsea";"8,00 mln ";"8,00 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Emiliano Rigoni";"Ala destra";"25";18/19";"Argentina";"Atalanta BC";"Zenit";"7,50 mln ";"7,50 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Marco Varnier";"Difensore centrale";"20";18/19";"Italia";"Atalanta BC";"Cittadella";"2,50 mln ";"2,50 mln  Prestito"
"Acquisto";"Ali Adnan";"Terzino sinistro";"24";18/19";"Iraq";"Atalanta BC";"Udinese";"1,80 mln ";"1,80 mln  Prestito"
"Acquisto";"Matteo Salvi";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Pisa U19";"50 mila ";"50 mila  ?"
"Acquisto";"Stefano Mazzini";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Pordenone";"75 mila ";"75 mila  Fine prestito 22/ago/2018"
"Acquisto";"Roberto Ranieri";"Centrale";"21";18/19";"Italia";"Atalanta BC";"Alessandria";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
